element number;temperature in °C;emissivity = 0.0001;;emissivity = 0.05;;emissivity = 0.75;
;;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m
181;400;0.0001;0.00030464;0.05;0.02028623;0.75;4.01E-05
182;400;0.0001;0.000299177;0.05;0.019465839;0.75;3.66E-05
183;400;0.0001;0.000291152;0.05;0.018281862;0.75;2.73E-05
184;400;0.0001;0.000285451;0.05;0.01750962;0.75;2.52E-05
185;400;0.0001;0.000278086;0.05;0.016580988;0.75;2.30E-05
186;400;0.0001;0.000273465;0.05;0.016001081;0.75;2.18E-05
187;400;0.0001;0.000268646;0.05;0.015431996;0.75;2.06E-05
188;400;0.0001;0.000267357;0.05;0.015301764;0.75;2.06E-05
189;400;0.0001;0.000266041;0.05;0.015194545;0.75;2.04E-05
190;400;0.0001;0.000268297;0.05;0.015527139;0.75;2.12E-05
191;400;0.0001;0.000286417;0.05;0.018775773;0.75;8.55E-05
192;400;0.0001;0.000286556;0.05;0.018871649;0.75;9.27E-05
193;400;0.0001;0.000283729;0.05;0.018361956;0.75;8.56E-05
194;400;0.0001;0.000281008;0.05;0.018108538;0.75;9.14E-05
195;400;0.0001;0.000276715;0.05;0.017660468;0.75;9.64E-05
196;400;0.0001;0.000267233;0.05;0.015919165;0.75;6.57E-05
197;400;0.0001;0.000256432;0.05;0.013747282;0.75;5.82E-06
198;400;0.0001;0.00024742;0.05;0.012504381;0.75;3.29E-06
199;400;0.0001;0.00024024;0.05;0.011675508;0.75;2.49E-06
200;400;0.0001;0.000235163;0.05;0.011139385;0.75;2.09E-06
201;400;0.0001;0.000200564;0.05;0.007849421;0.75;3.39E-07
202;400;0.0001;0.000196704;0.05;0.007547206;0.75;2.93E-07
203;400;0.0001;0.000192411;0.05;0.007220215;0.75;2.48E-07
204;400;0.0001;0.000187827;0.05;0.006882745;0.75;2.08E-07
205;400;0.0001;0.00018307;0.05;0.00654691;0.75;1.71E-07
206;400;0.0001;0.000178228;0.05;0.006221514;0.75;1.41E-07
207;400;0.0001;0.000173354;0.05;0.005911848;0.75;1.15E-07
208;400;0.0001;0.000168475;0.05;0.005620222;0.75;9.43E-08
209;400;0.0001;0.000163604;0.05;0.005346912;0.75;7.79E-08
210;400;0.0001;0.000158751;0.05;0.005091271;0.75;6.49E-08
211;400;0.0001;0.000153942;0.05;0.004852726;0.75;5.47E-08
212;400;0.0001;0.000149225;0.05;0.004631413;0.75;4.66E-08
213;400;0.0001;0.000144681;0.05;0.004428473;0.75;4.03E-08
214;400;0.0001;0.000140421;0.05;0.004246165;0.75;3.53E-08
215;400;0.0001;0.000136585;0.05;0.004087735;0.75;3.14E-08
216;400;0.0001;0.00010319;0.05;0.002879662;0.75;9.29E-09
217;400;0.0001;9.81E-05;0.05;0.002705297;0.75;7.77E-09
218;400;0.0001;9.28E-05;0.05;0.002521842;0.75;6.29E-09
219;400;0.0001;8.74E-05;0.05;0.002342194;0.75;4.98E-09
220;400;0.0001;8.23E-05;0.05;0.002177382;0.75;3.92E-09
221;400;0.0001;4.58E-05;0.05;0.001132997;0.75;4.51E-10
222;400;0.0001;4.13E-05;0.05;0.001018526;0.75;4.11E-10
223;400;0.0001;3.62E-05;0.05;0.00089158;0.75;3.61E-10
224;400;0.0001;3.08E-05;0.05;0.000757937;0.75;3.05E-10
225;400;0.0001;2.54E-05;0.05;0.000624872;0.75;2.49E-10
226;400;1;0.458956983;1;0.022532262;1;5.88E-10
227;400;1;0.490793779;1;0.024054068;1;5.15E-10
228;400;1;0.493385815;1;0.024120069;1;4.92E-10
229;400;1;0.474164578;1;0.023096753;1;4.47E-10
230;400;1;0.44635672;1;0.021721805;1;4.09E-10
